idx,Vin,Vref,P,D1,D2,D0,Validity,ipk2pk,irms,vp_t1,vp_t2,vp_t3,vp_t4,vs_t1,vs_t2,vs_t3,vs_t4,Vo
113,200,160,100,0.7,0.76,-0.021653065,1,6.958294791,1.839222292,1,1,1,1,0,0,1,0,159.8528655
114,200,160,100,0.7,0.78,-0.0385659,1,7.24987173,1.830500492,1,1,1,1,0,0,1,0,159.8888147
115,200,160,100,0.7,0.8,-0.040534308,1,6.964756995,1.723552836,1,1,1,1,0,0,1,0,159.7148755
116,200,160,100,0.7,0.82,-0.060836946,1,6.610226025,1.629002413,1,1,1,1,0,0,0,0,160.07821
117,200,160,100,0.7,0.84,-0.060416826,1,6.946943153,1.658897183,1,1,1,1,0,0,0,0,159.7891943
118,200,160,100,0.7,0.86,-0.079887848,1,7.211158285,1.703716124,1,1,1,1,0,0,0,0,160.0418435
119,200,160,100,0.7,0.88,-0.079696105,1,7.614369565,1.797134182,1,1,1,1,1,1,1,1,159.9610909
120,200,160,100,0.7,0.9,-0.079341687,1,7.626020262,1.801483887,1,1,1,1,1,1,1,1,159.9215206
121,200,160,100,0.7,0.92,-0.08019305,1,6.872738228,1.646763847,1,1,1,1,1,1,1,1,159.8799601
122,200,160,100,0.7,0.94,-0.099125956,1,7.157645252,1.721517691,1,1,1,1,1,1,1,1,159.9840062
123,200,160,100,0.7,0.96,-0.101642834,1,6.853212689,1.666148409,1,1,1,1,1,1,1,1,160.0100345
124,200,160,100,0.7,0.98,-0.118934607,1,7.157885854,1.744294186,1,1,1,1,1,1,1,1,159.9698878
125,200,160,100,0.7,1,-0.12249954,1,6.840365448,1.675794721,1,1,1,1,1,1,1,1,160.1036844
126,200,160,100,0.72,0.6,0.059771311,1,9.708015281,3.07706304,1,1,1,1,0,0,0,0,160.0376179
127,200,160,100,0.72,0.62,0.057847708,1,9.036263261,2.950679987,1,1,1,1,0,0,0,0,160.1077875
128,200,160,100,0.72,0.64,0.039344403,1,8.410056152,2.721039801,1,1,1,1,0,0,0,0,160.0605457
129,200,160,100,0.72,0.66,0.038502104,1,7.751834928,2.581137883,1,1,1,1,0,0,0,0,159.9948724
130,200,160,100,0.72,0.68,0.020086795,1,7.408813855,2.473221662,1,1,1,1,0,0,0,0,160.0091935
131,200,160,100,0.72,0.7,0.018739621,1,7.117739158,2.297012784,1,1,1,1,0,0,0,0,159.9320294
132,200,160,100,0.72,0.72,-0.000510916,1,6.473036301,2.099499258,1,1,1,1,0,0,0,0,160.0480642
133,200,160,100,0.72,0.74,-0.019463224,1,7.088085336,2.051998168,1,1,1,1,0,0,0,0,160.1405072
134,200,160,100,0.72,0.76,-0.020376068,1,6.795617164,1.927230347,1,1,1,1,0,0,0,0,160.0313055
135,200,160,100,0.72,0.78,-0.037485648,1,7.101598401,1.886115242,1,1,1,1,0,0,1,0,159.9629288
136,200,160,100,0.72,0.8,-0.039029364,1,7.401077428,1.885086444,1,1,1,1,0,0,1,0,159.941704
137,200,160,100,0.72,0.82,-0.057817578,1,7.084304327,1.77098468,1,1,1,1,0,0,1,0,160.0074049
138,200,160,100,0.72,0.84,-0.060123834,1,6.780110799,1.69633686,1,1,1,1,0,0,0,0,160.0033403
139,200,160,100,0.72,0.86,-0.077316321,1,7.076151802,1.714069096,1,1,1,1,0,0,0,0,160.0169989
140,200,160,100,0.72,0.88,-0.080948762,1,6.758456395,1.657162527,1,1,1,1,0,0,0,0,160.1199599
141,200,160,100,0.72,0.9,-0.080541655,1,7.019293354,1.691480916,1,1,1,1,1,1,1,1,159.9445718
142,200,160,100,0.72,0.92,-0.081420799,1,6.992798004,1.685490208,1,1,1,1,1,1,1,1,160.0306585
143,200,160,100,0.72,0.94,-0.080620569,1,7.048508434,1.707444776,1,1,1,1,1,1,1,1,159.8496452
144,200,160,100,0.72,0.96,-0.100239208,1,6.713476581,1.666091896,1,1,1,1,1,1,1,1,160.0340356
145,200,160,100,0.72,0.98,-0.103193895,1,6.999784358,1.709852325,1,1,1,1,1,1,1,1,160.1280569
